file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,106,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,13
style.css,107,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,22
style.css,108,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,18
style.css,109,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,0
style.css,110,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,0
style.css,111,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,0
style.css,112,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,5
style.css,113,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,8
style.css,114,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,7
style.css,115,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,13
style.css,116,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,117,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,118,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,5
style.css,119,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,13
style.css,120,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,31
style.css,121,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,22
style.css,122,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,123,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,124,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,11
style.css,125,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,13
style.css,126,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,30
style.css,127,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,19
style.css,128,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,25
style.css,129,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,17
style.css,130,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,131,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,132,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,10
style.css,133,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,14
style.css,134,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,14
style.css,135,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,11
style.css,136,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,22
style.css,137,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,16
style.css,138,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,41
style.css,139,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,17
style.css,140,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,37
style.css,141,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,24
style.css,142,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,18
style.css,143,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,64
style.css,144,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,0
style.css,145,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,0
style.css,146,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,16
style.css,147,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,20
style.css,148,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,13
style.css,149,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,33
style.css,150,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,39
style.css,151,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,152,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,153,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,12
style.css,154,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,14
style.css,155,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,37
style.css,156,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,17
style.css,157,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,12
style.css,158,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,15
style.css,159,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,17
style.css,160,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,18
style.css,161,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,50
style.css,162,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,163,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,164,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,18
style.css,165,css,72680792,derricknguyen12,2025-01-21,23:55:38,-08:00,2025-01-21T23:55:38-08:00,0,70
style.css,166,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,167,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,168,css,5bf603e8,derricknguyen12,2025-01-15,13:46:13,-08:00,2025-01-15T13:46:13-08:00,0,9
style.css,169,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,17
style.css,170,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,16
style.css,171,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,18
style.css,172,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,173,css,0acecad4,derricknguyen12,2025-01-15,00:02:40,-08:00,2025-01-15T00:02:40-08:00,0,0
style.css,174,css,986b4fed,derricknguyen12,2025-01-15,10:40:19,-08:00,2025-01-15T10:40:19-08:00,0,10
